序号,登记号,试验状态,药物名称,适应症,试验题目,申办者,机构名称,所在城市,所在省份,主要研究者
5,CTR20180999,进行中,奥美拉唑肠溶胶囊,适用于胃溃疡、十二指肠溃疡、应激性溃疡、反流性食管炎和卓-艾综合征（胃泌素瘤）。,奥美拉唑肠溶胶囊生物等效性试验,悦康药业集团有限公司,中南大学湘雅三医院Ⅰ期临床研究室,长沙,湖南,阳国平
4,CTR20181001,进行中,利培酮口崩片,利培酮用于治疗精神分裂症。利培酮可用于治疗双相情感障碍的躁狂发作。,利培酮口崩片的人体生物等效性研究,齐鲁制药有限公司,济南市中心医院,济南,山东,温清
3,CTR20181005,进行中,阿齐沙坦片,高血压,阿齐沙坦片人体生物等效性研究,江苏恒瑞医药股份有限公司,南昌大学第一附属医院国家药物临床试验机构,南昌,江西,张伟、魏筱华
2,CTR20181053,进行中,缬沙坦片,轻﹑中度原发性高血压,缬沙坦片的人体生物等效性试验,湖南千金湘江药业股份有限公司,上海市公共卫生临床中心,上海,上海,黄琴
1,CTR20181062,已完成,沙格列汀片,2型糖尿病,沙格列汀片健康人体生物等效性试验,江苏豪森药业集团有限公司,上海市公共卫生临床中心,上海,上海市,刘莉
6,CTR20180985,进行中,双氯芬酸钠缓释片,1、缓解类风湿关节炎、骨关节炎。脊柱关节病、痛风性关节炎、风湿性关节炎等各种慢性关节炎的急性发作期或持续性的关节肿痛症状；2、各种软组织风湿性疼痛，如肩痛、腱鞘炎、滑囊炎、肌痛及运动后损伤性疼痛等；3、急性的轻、中度疼痛如：手术、创伤、劳损后等的疼痛，原发性痛经，牙痛、疼痛等。,双氯芬酸钠缓释片餐后人体生物等效性试验,南京易亨制药有限公司,徐州医科大学附属医院,徐州,江苏,许铁
7,CTR20180981,进行中,氢溴酸右美沙芬片,用于干咳，包括上呼吸道感染（如感冒和咽炎），支气管炎等引起的咳嗽。,氢溴酸右美沙芬片在高脂餐条件下的 人体生物等效性试验,广东华南药业集团有限公司,广州市番禺区中心医院,广州,广东,杨辉
10,CTR20180966,进行中,克拉霉素片,适用于克拉霉素敏感菌所引起的下列感染： 1.鼻咽感染： 包括扁桃体 炎、 咽炎、 鼻窦炎； 2.下呼吸道感染： 急性支气管炎、 慢性支气管炎急性发作和肺 炎； 3.皮肤软组织感染： 脓疱病、 丹毒、 毛囊炎、 疖和伤口感染； 4.急性中耳炎、 肺 炎支原体肺炎、 沙眼衣原体引起的尿道炎及宫颈炎等； 5.也用于军团菌感染， 或与 其他药物联合用于鸟分枝杆菌感染、 幽门螺杆菌感染的治疗。,克拉霉素片在中国健康受试者中生物等效性试验,上海现代制药股份有限公司,辽宁中医药大学附属医院，中国，辽宁省，沈阳市,沈阳,辽宁,王文萍
8,CTR20180980,进行中,格列吡嗪控释片,适用于在充分进行饮食控制的基础上，治疗2型糖尿病（又称非胰岛素依赖型糖尿病NIDDM或成年发病的糖尿病）患者的高血糖及其相关症状。本品适用于单独饮食治疗未能控制的高血糖，即使患者已经服用本品，饮食控制仍很重要。,格列吡嗪控释片餐后人体生物等效性试验,南京易亨制药有限公司,徐州医科大学附属医院,徐州,江苏,章龙珍
9,CTR20180974,进行中,利培酮片,1、用于治疗急性和慢性精神分裂症以及其它各种精神病性状态的明显的阳性症状（如幻觉、妄想、思维紊乱、敌视、怀疑）和明显的阴性症状（如反应迟钝、情绪淡漠及社交淡漠、少语）。也可减轻与精神分裂症有关的情感症状（如：抑郁、负罪感、焦虑）。对于急性期治疗有效的患者，在维持期治疗中，可继续发挥其临床疗效。2、可用于治疗双相情感障碍的躁狂发作，其表现为情绪高涨、夸大或易激惹，自我评价过高，睡眠要求减少、语速加快、思维奔逸、注意力分散或判断力低下（包括紊乱或过激行为）。,利培酮片人体生物等效性研究,北京天衡药物研究院南阳天衡制药厂,上海市徐汇区中心医院,上海市,上海市,刘罡一
11,CTR20180956,进行中,盐酸美金刚片,本品用于治疗中重度至重度阿尔茨海默型痴呆。,盐酸美金刚片人体生物等效性试验,四川美大康药业股份有限公司,四川大学华西第二医院药物试验研究机构I期临床研究室,成都市,四川省,张伶俐
14,CTR20180946,进行中,盐酸倍他司汀片,美尼尔氏综合征，血管性头痛及脑动脉硬化以及急性缺血性脑血管疾病,盐酸倍他司汀片在餐后条件下的人体生物等效性研究,上海中西三维药业有限公司,徐州医科大学附属医院,徐州市,江苏省,章龙珍
12,CTR20180951,进行中,恩替卡韦胶囊,本品适用于病毒复制活跃，血清转氨酶ALT持续升高或肝脏组织学显示有活动性病变的慢性成人乙型肝炎的治疗。,恩替卡韦胶囊（0.5mg）人体生物等效性试验,海南中和药业股份有限公司,河南中医药大学第一附属医院,郑州,河南,汪青
13,CTR20180949,进行中,卡马西平片,癫痫、三叉神经痛、躁狂-抑郁症、中枢性部分性尿崩症等,卡马西平片人体生物等效性试验,上海中西三维药业有限公司,海口市人民医院,海口市,海南省,何小爱
15,CTR20180942,进行中,盐酸倍他司汀片,美尼尔氏综合征，血管性头痛及脑动脉硬化以及急性缺血性脑血管疾病,盐酸倍他司汀片在空腹条件下的人体生物等效性研究,上海中西三维药业有限公司,徐州医科大学附属医院,徐州市,江苏省,章龙珍
16,CTR20180940,进行中,非布司他片,适用于痛风患者高尿酸血症的长期治疗。不推荐用于无临床症状的高尿酸血症。,非布司他片餐后状态下生物等效性试验,杭州朱养心药业有限公司,上海市公共卫生临床中心,上海,/,朱同玉
18,CTR20180934,进行中,非布司他片,适用于痛风患者高尿酸血症的长期治疗。不推荐用于无临床症状的高尿酸血症。,非布司他片空腹状态下生物等效性试验,杭州朱养心药业有限公司,上海市公共卫生临床中心,上海,/,朱同玉
